,Cell,Value,Type,samtype,Harvest,Soil,Plot,Carryover,Location,PNP,Biomass,Mehlich,Height
E11-68Post,E11,68,Post,Mesh Bag,After,SPOD,1401,40_45 P,B,P_Untreated,0.238101632,9,1.974
C7-71Post,C7,71,Post,Mesh Bag,After,ALF,1108,121_0 P,IB,P_Untreated,0.314710844,6.5,2.319
E12-72Post,E12,72,Post,Mesh Bag,After,SPOD,1401,40_45 P,IB,P_Treated,0.255344992,7,1.974
F1-74Post,F1,74,Post,Mesh Bag,After,SPOD,2108,121_0 P,IB,P_Treated,0.213973091,11,1.98
F2-75Post,F2,75,Post,Mesh Bag,After,ALF,2000,0_0 P,IB,P_Untreated,0.327746344,11.5,2.039
F3-76Post,F3,76,Post,Mesh Bag,After,SPOD,1401,40_45 P,B,P_Untreated,0.347555526,9,1.974
C8-77Post,C8,77,Post,Mesh Bag,After,SPOD,2400,40_0 P,B,P_Untreated,0.300153567,9.5,1.766
F4-78Post,F4,78,Post,Mesh Bag,After,ALF,2401,40_45 P,IB,P_Treated,0.352112676,11,2.354
H4-42018Pre,H4,42018,Pre,Pre,Before,ALF,1108,121_0 P,B,P_Untreated,1,1,1
H6-122018Pre,H6,122018,Pre,Pre,Before,ALF,2000,0_0 P,B,P_Untreated,1,1,1
H7-142018Pre,H7,142018,Pre,Pre,Before,SPOD,2108,121_0 P,B,P_Untreated,1,1,1
H8-162018Pre,H8,162018,Pre,Pre,Before,SPOD,2108,121_0 P,B,P_Treated,1,1,1
H11-312018Pre,H11,312018,Pre,Pre,Before,ALF,1000,0_0 P,B,P_Untreated,1,1,1
H2-412018Pre,H2,412018,Pre,Pre,Before,SPOD,1108,121_0 P,B,P_Untreated,1,1,1
G12-462018Pre,G12,462018,Pre,Pre,Before,ALF,2108,121_0 P,B,P_Treated,1,1,1
G11-512018Pre,G11,512018,Pre,Pre,Before,SPOD,2000,0_0 P,B,P_Treated,1,1,1
G10-542018Pre,G10,542018,Pre,Pre,Before,ALF,1000,0_0 P,B,P_Treated,1,1,1
G9-662018Pre,G9,662018,Pre,Pre,Before,ALF,2000,0_0 P,B,P_Untreated,1,1,1
G2-10RRoot,G2,10R,Root,Rhizosphere,After,ALF,1401,40_45 P,X,Rhizosphere,1,15.5,2.09
G3-11RRoot,G3,11R,Root,Rhizosphere,After,ALF,2401,40_45 P,X,Rhizosphere,1,10.3,2.354
G4-12RRoot,G4,12R,Root,Rhizosphere,After,SPOD,2401,40_45 P,X,Rhizosphere,1,8.5,1.92
G5-13RRoot,G5,13R,Root,Rhizosphere,After,ALF,2108,121_0 P,X,Rhizosphere,1,5.5,2.28
G6-14RRoot,G6,14R,Root,Rhizosphere,After,SPOD,1108,121_0 P,X,Rhizosphere,1,9.5,1.589
G7-15RRoot,G7,15R,Root,Rhizosphere,After,SPOD,2108,121_0 P,X,Rhizosphere,1,7.5,1.98
G8-16RRoot,G8,16R,Root,Rhizosphere,After,ALF,1108,121_0 P,X,Rhizosphere,1,7.3,2.319
F5-1RRoot,F5,1R,Root,Rhizosphere,After,SPOD,2000,0_0 P,X,Rhizosphere,1,7.8,1.84
F6-2RRoot,F6,2R,Root,Rhizosphere,After,SPOD,1000,0_0 P,X,Rhizosphere,1,6.5,2.047
F7-3RRoot,F7,3R,Root,Rhizosphere,After,ALF,2000,0_0 P,X,Rhizosphere,1,10.3,2.039
F8-4RRoot,F8,4R,Root,Rhizosphere,After,ALF,1000,0_0 P,X,Rhizosphere,1,7.3,1.87
F9-5RRoot,F9,5R,Root,Rhizosphere,After,ALF,1400,40_0 P,X,Rhizosphere,1,14.3,2.047
F10-6RRoot,F10,6R,Root,Rhizosphere,After,SPOD,2400,40_0 P,X,Rhizosphere,1,11,1.766
F11-7RRoot,F11,7R,Root,Rhizosphere,After,ALF,2400,40_0 P,X,Rhizosphere,1,37.5,1.91
F12-8RRoot,F12,8R,Root,Rhizosphere,After,SPOD,1400,40_0 P,X,Rhizosphere,1,9,2.22
G1-9RRoot,G1,9R,Root,Rhizosphere,After,SPOD,1401,40_45 P,X,Rhizosphere,1,8,1.974
